,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,Sodium,product_name,Magnesium,Folic Acid,Of which Polyols,Calcium,Iron,Of which Starch,Vitamin C,Of which Cholesterol,Potassium,Vitamin E,Selenium,Iodine,box,label-glued,shrinkwrap,Of which Polyunsaturated,Niacin,Riboflavin,Thiamin,Omega 3,Polyunsaturates,Of which Trans,Omega 6,Omega 9
0,10.1g,84kcal,2.8g,1.1g,1.3g,1.7g,4.1g,0.10g,0.04g,HiPP 1-3 years Squiggly Spaghetti,,,,,,,,,,,,,,,,,,,,,,,,
1,28.2g,143kcal,1.9g,0.7g,0.5g,<0.1g,2.9g,<0.03g,,Tilda Pure Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
2,23.3g,129kcal,2.1g,3.0g,0.5g,0.2g,2.8g,<0.03g,,Tilda Brown Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
3,24.8g,128kcal,1.8g,0.9g,0.3g,0.3g,2.8g,0.41g,,Tilda Pilau Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
4,79.0g,351kcal,0.9g,0.5g,0.1g,,6.8g,,0.02g,Waitrose Arborio Risotto Rice,,,,,,,,,,,,,,,,,,,,,,,,
5,33.7g,154kcal,0.5g,,0.0g,0.2g,3.2g,0.00g,,Uncle Ben's boil in bag long grain rice,,,,,,,,,,,,,,,,,,,,,,,,
6,35.3g,175kcal,2.3g,<0.5g,0.5g,<0.1g,3.2g,<0.03g,,Tilda Fragrant Jasmine Rice,,,,,,,,,,,,,,,,,,,,,,,,
7,25.3g,117kcal,0.3g,1.0g,0.1g,,2.7g,,,Essential Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
8,22.6g,136kcal,3.1g,3.0g,0.5g,0.4g,2.9g,0.28g,,Tilda Wholegrain Basmati Pilau Rice,,,,,,,,,,,,,,,,,,,,,,,,
9,34g,157kcal,0.5g,0.8g,<0.1g,<0.5g,3.3g,<0.01g,,Uncle Ben's long grain rice,,,,,,,,,,,,,,,,,,,,,,,,
10,28.5g,139kcal,1.2g,0.9g,0.2g,<0.5g,3.0g,0.18g,,Waitrose Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
11,77.7g,351kcal,0.8g,1.0g,0.2g,0.5g,7.8g,<0.03g,,Tilda Pure Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
12,26.9g,150kcal,2.1g,5.3g,0.2g,<0.5g,3.3g,0.13g,,Waitrose Wholegrain Rice,,,,,,,,,,,,,,,,,,,,,,,,
13,31.6g,153kcal,1.3g,0.8g,0.1g,0.6g,3.3g,0.38g,,Waitrose Pilau Rice,,,,,,,,,,,,,,,,,,,,,,,,
14,77.6g,349kcal,0.6g,0.9g,0.2g,0.5g,7.9g,<0.03g,,Tilda Fragrant Jasmine Rice,,,,,,,,,,,,,,,,,,,,,,,,
15,31.3g,153kcal,2.0g,,0.3g,0.4g,3.0g,0.15g,,VeeTee Rice & Tasty Thai Jasmine,,,,,,,,,,,,,,,,,,,,,,,,
16,19.0g,99kcal,0.6g,1.4g,0.3g,<0.5g,3.6g,0.01g,,Essential Brown Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
17,27.6g,148kcal,2.0g,2.0g,0.5g,0.1g,4.0g,<0.03g,,Tilda White & Brown Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
18,77.7g,351kcal,0.8g,1.0g,0.2g,0.5g,7.8g,<0.03g,,Tilda Pure Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
19,34.7g,156kcal,0.4g,0.7g,0.1g,,3.0g,,,Essential Long Grain Rice Easy Cook,,,,,,,,,,,,,,,,,,,,,,,,
20,85.2g,378kcal,1.0g,1.4g,0.2g,0.2g,6.4g,0g,,Waitrose Short Grain Pudding Rice,,,,,,,,,,,,,,,,,,,,,,,,
21,25.3g,117kcal,0.3g,1.0g,0.1g,,2.7g,,,Waitrose DUCHY Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
22,71.2g,351kcal,2.8g,3.4g,0.6g,1.1g,8.6g,<0.03g,,Tilda Brown Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
23,77.7g,351kcal,0.8g,1.0g,0.2g,0.5g,7.8g,<0.03g,,Tilda Pure Basmati,,,,,,,,,,,,,,,,,,,,,,,,
24,30.3g,143kcal,1.1g,1.1g,0.1g,<0.5g,2.6g,0.14g,,Waitrose Long Grain Rice,,,,,,,,,,,,,,,,,,,,,,,,
25,23.3g,135kcal,2.6g,3.0g,0.6g,0.1g,3.1g,<0.03g,,Tilda brown basmati & wild rice wholegrain,,,,,,,,,,,,,,,,,,,,,,,,
26,35g,167kcal,1.0g,1.5g,0.2g,<0.5g,3.8g,<0.01g,,Uncle Ben's boil in bag wholegrain rice,,,,,,,,,,,,,,,,,,,,,,,,
27,21.6g,119kcal,1.3g,2.6g,0.3g,0.3g,4.0g,0g,,"Waitrose Brown Basmati, Red Camargue & Wild Rice",,,,,,,,,,,,,,,,,,,,,,,,
28,30.8g,160kcal,2.4g,1.4g,1.0g,0.5g,3.1g,0.21g,,"Waitrose Coconut, Lime & Coriander Rice",,,,,,,,,,,,,,,,,,,,,,,,
29,25.5g,117kcal,0.3g,1.4g,0.1g,,2.4g,,,Waitrose Bomba Paella Rice,,,,,,,,,,,,,,,,,,,,,,,,
30,20.7g,158kcal,6.2g,2.4g,3.2g,0.8g,3.6g,0.18g,,Tilda Super Grains Coconut,,,,,,,,,,,,,,,,,,,,,,,,
31,33.9g,162kcal,1.0g,1.4g,0.1g,<0.5g,3.6g,0.39g,,Waitrose Egg Fried Rice,,,,,,,,,,,,,,,,,,,,,,,,
32,34.0g,160kcal,0.9g,1.6g,0.1g,1.1g,3.2g,0.34g,,Waitrose Golden Vegetable Rice,,,,,,,,,,,,,,,,,,,,,,,,
33,22.8g,122kcal,1.3g,2.5g,,0.3g,3.6g,0g,,Waitrose Duchy Brown Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
34,29g,152kcal,2.2g,1.3g,0.2g,0.8g,3.3g,0.43g,,Uncle Ben's Special Golden Vegetable Rice,,,,,,,,,,,,,,,,,,,,,,,,
35,27.9g,139kcal,2.1g,1.7g,0.3g),0.4g),3.2g,0.15g,,VeeTee Basmati Rice Pots,,,,,,,,,,,,,,,,,,,,,,,,
36,30.1g,157kcal,1.9g,2.8g,0.2g,<0.5g,3.6g,0.13g,,"Waitrose Wholegrain, Wild & Red Rice",,,,,,,,,,,,,,,,,,,,,,,,
37,16.0g,122kcal,4.3g,0.5g,2.8g,9.0g,4.6g,0.11g,,Waitrose Wholesome Semolina - 133,,,,,,,,,,,,,,,,,,,,,,,,
38,23.4g,133kcal,3.0g,1.1g,1.9g,0.6g,2.5g,0.30g,,Tilda lime & coriander steamed basmati rice,,,,,,,,,,,,,,,,,,,,,,,,
39,4.0g,20kcal,0.2g,2.5g,0.0g,1.0g,1.5g,0.01g,,Fullgreen Riced Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,
40,22.0g,146kcal,4.6g,2.3g,1.7g,1.1g,3.1g,0.15g,,Tilda Super Grains Sweet Potato,,,,,,,,,,,,,,,,,,,,,,,,
41,25.3g,117kcal,0.3g,1.0g,<0.1g,0g,2.7g,0g,,Waitrose Basmati Aromatic Rice,,,,,,,,,,,,,,,,,,,,,,,,
42,"77,3g",348kcal,"1,0g","1,0g","0,3g","0,2g","6,9g","0,0g",,Gallo Carnaroli Risotto Rice,,,,,,,,,,,,,,,,,,,,,,,,
43,31g,164kcal,2.5g,1.9g,0.5g,<0.5g,3.7g,<0.01g,,Uncle Ben's Classic Wholegrain Rice,,,,,,,,,,,,,,,,,,,,,,,,
44,77.7g,351kcal,0.8g,1.0g,0.2g,0.5g,7.8g,<0.03g,,Tilda pure basmati rice,,,,,,,,,,,,,,,,,,,,,,,,
45,27.9g,157kcal,2.3g,4.0g,0.3g,1.4g,4.1g,0.43g,,Waitrose Mexican Style Rice,,,,,,,,,,,,,,,,,,,,,,,,
46,28g,134kcal,0.9g,0.7g,0.1g,<0.5g,2.7g,<0.01g,,Uncle Ben's Classic Long Grain Rice,,,,,,,,,,,,,,,,,,,,,,,,
47,29g,145kcal,1.6g,0.5g,0.2g,<0.5g,3.1g,<0.01g,,Uncle Ben's Classic Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
48,25.8g,116kcal,0.2g,1.1g,trace,0.3g,2.1g,,,Cooks' Ingredients Sushi Rice,,,,,,,,,,,,,,,,,,,,,,,,
49,22.5g,118kcal,1.0g,2.2g,0.2g,0.3g,3.7g,0g,,Waitrose LOVE Life Red Camargue & Wild Rice,,,,,,,,,,,,,,,,,,,,,,,,
50,26.1g,137kcal,2.2g,1.2g,0.4g,<0.1g,2.6g,0.30g,,Tilda steamed basmati rice lemon basmati,,,,,,,,,,,,,,,,,,,,,,,,
51,25.5g,126kcal,1.6g,,0.2g,0.4g,2.9g,0.4g,,Veetee pilau rice,,,,,,,,,,,,,,,,,,,,,,,,
52,25.2g,162kcal,5.0g,1.5g,3.6g,0.4g,3.4g,<0.03g,,Tilda coconut steamed basmati rice,,,,,,,,,,,,,,,,,,,,,,,,
53,74.3g,343kcal,1.0g,1.6g,trace,,9.2g,,trace,Waitrose basmati & wild rice,,,,,,,,,,,,,,,,,,,,,,,,
54,25.9g,114kcal,<0.5g,<0.5g,0.1g,<0.5g,2.3g,0.02g,,Waitrose Thai Hom Mali rice,,,,,,,,,,,,,,,,,,,,,,,,
55,"77,3g",348kcal,"1,0g","1,0g","0,3g","0,2g","6,9g","0,0g",,Gallo Risotto Arborio Rice,,,,,,,,,,,,,,,,,,,,,,,,
56,22.5g,119kcal,1.2g,2.3g,0.3g,0.3g,3.3g,0g,,Waitrose DUCHY Whole Grain Rice,,,,,,,,,,,,,,,,,,,,,,,,
57,22.8g,119kcal,1.0g,2.6g,0.2g,0.3g,3.4g,,,Waitrose LoveLife Brown Basmati & Wild Rice,,,,,,,,,,,,,,,,,,,,,,,,
58,22.8g,122kcal,1.3g,2.5g,0.3g,0.3g,3.6g,0g,,Waitrose Traditional Brown Basmati Aged Rice,,,,,,,,,,,,,,,,,,,,,,,,
59,77.7g,351kcal,0.8g,1.0g,0.2g,0.5g,7.8g,<0.03g,,Tilda pure Pure Basmati Boil in Bag Rice,,,,,,,,,,,,,,,,,,,,,,,,
60,34.7g,156kcal,0.4g,0.7g,<0.1g,0g,3.0g,0g,,Essential Long Grain Rice Easy Cook,,,,,,,,,,,,,,,,,,,,,,,,
61,28.2g,157kcal,2.6g,3.3g,0.6g,<0.5g,3.5g,0.02g,,"Waitrose Wholegrain, Red Rice & Quinoa",,,,,,,,,,,,,,,,,,,,,,,,
62,24.0g,133kcal,2.1g,3.0g,0.8g,0.3g,2.9g,0.28g,,Tilda brown basmati quinoa wholegrain rice,,,,,,,,,,,,,,,,,,,,,,,,
63,30g,157kcal,2.2g,1.2g,0.2g,1.1g,3.4g,0.43g,,Uncle Ben's Special Mexican Style Rice,,,,,,,,,,,,,,,,,,,,,,,,
64,34.7g,156kcal,0.4g,0.7g,<0.1g,0g,3.0g,<0.01g,,Essential Long Grain Rice Easy Cook,,,,,,,,,,,,,,,,,,,,,,,,
65,22.5g,119kcal,1.2g,2.3g,0.3g,0.3g,3.3g,0g,,Waitrose DUCHY whole grain rice,,,,,,,,,,,,,,,,,,,,,,,,
66,31.1g,140kcal,0.4g,0.5g,0.1g,,2.8g,0.03g,,Essential Long Grain Rice,,,,,,,,,,,,,,,,,,,,,,,,
67,28.4g,140kcal,1.2g,1.0g,0.2g,<0.5g,3.3g,0.18g,,Waitrose Basmati & Wild Rice,,,,,,,,,,,,,,,,,,,,,,,,
68,26.3g,130kcal,2.2g,,0.3g,0.4g,2.4g,0.15g,,VeeTee Rice & Tasty Long Grain,,,,,,,,,,,,,,,,,,,,,,,,
69,25.3g,117kcal,0.3g,1.0g,<0.1g,0g,2.7g,0g,,Waitrose Basmati Aromatic Rice,,,,,,,,,,,,,,,,,,,,,,,,
70,30g,154kcal,2.2g,1.0g,0.2g,0.7g,3.4g,0.44g,,Uncle Ben's Special Rice Savoury Chicken,,,,,,,,,,,,,,,,,,,,,,,,
71,"75,2g",346kcal,"1,1g","1,6g","0,4g","2,0g","7,9g","2,2g",,Gallo My Risotto Perfetto Porcini Mushroom,,,,,,,,,,,,,,,,,,,,,,,,
72,79.3g,347kcal,0.4g,0.8g,0.4g,0g,6.7g,0g,,Thai Taste Thai sticky Rice Kao Niao Thai,,,,,,,,,,,,,,,,,,,,,,,,
73,25.0g,116kcal,0.3g,1.2g,<0.1g,0g,2.6g,0g,,Waitrose DUCHY Long Grain Rice,,,,,,,,,,,,,,,,,,,,,,,,
74,23.6g,136kcal,2.8g,1.7g,0.5g,0.7g,3.2g,0.49g,,Tilda egg fried steamed basmati rice,,,,,,,,,,,,,,,,,,,,,,,,
75,35.0g,189kcal,3.4g,1.0g,0.4g,<0.5g,4.1g,0.01g,,Waitrose Thai Black Rice,,,,,,,,,,,,,,,,,,,,,,,,
76,24.0g,128kcal,2.3g,0.6g,0.5g,1.7g,2.6g,0.55g,,Tilda steamed basmati rice sweet chilli & lime,,,,,,,,,,,,,,,,,,,,,,,,
77,23.6g,150kcal,2.7g,6.9g,0.3g,1.4g,4.4g,0.42g,,Waitrose Wholegrain Mexican Style Rice,,,,,,,,,,,,,,,,,,,,,,,,
78,27.7g,151kcal,1.9g,3.1g,0.3g,<0.5g,4.3g,0.01g,,Waitrose Wholegrain Freekeh & Wheatberries,,,,,,,,,,,,,,,,,,,,,,,,
79,21.5g,120kcal,2.3g,0.9g,0.3g,0.4g,2.9g,0.43g,,Tilda steamed basmati rice mushroom,,,,,,,,,,,,,,,,,,,,,,,,
80,25.3g,117kcal,0.3g,1.0g,<0.1g,0g,2.7g,0g,,Waitrose basmati aromatic rice,,,,,,,,,,,,,,,,,,,,,,,,
81,71.2g,351kcal,2.8g,3.4g,0.6g,1.1g,8.6g,<0.03g,,Tilda Wholegrain Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
82,22.4g,123kcal,2.5g,1.1g,0.3g,1.0g,2.1g,0.42g,,Tilda steamed basmati rice sundried tomato,,,,,,,,,,,,,,,,,,,,,,,,
83,32.2g,161kcal,2.7g,2.2g,0.5g,0.4g,3.2g,0.18g,,VeeTee Rice & Tasty Wholegrain,,,,,,,,,,,,,,,,,,,,,,,,
84,21.4g,152kcal,6.0g,1.4g,3.3g,0.6g,2.4g,0.30g,,Tilda steamed basmati rice coconut chilli & lemongrass,,,,,,,,,,,,,,,,,,,,,,,,
85,28g,159kcal,3.0g,1.5g,0.3g,1.2g,3.8g,0.51g,,Uncle Ben's Special Spicy Mexican Rice,,,,,,,,,,,,,,,,,,,,,,,,
86,19.0g,129kcal,4.0g,2.2g,2.3g,1.0g,3.2g,0.33g,,Tilda Caribbean Rice & Peas,,,,,,,,,,,,,,,,,,,,,,,,
87,31g,167kcal,3.1g,1.1g,0.3g,0.5g,3.5g,0.56g,,Uncle Ben's Classic Pilau Rice,,,,,,,,,,,,,,,,,,,,,,,,
88,"72,7g",353kcal,"2,8g","4,1g","0,6g","0,9g","7,1g","0,0g",,Gallo Venere black rice,"107,1mg",,,,,,,,,,,,,,,,,,,,,,,
89,78.6g,355kcal,0.7g,1.2g,0.2g,0.7g,7.9g,<0.03g,,Tilda Easy Cook Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
90,21.9g,124kcal,2.6g,1.1g,0.5g,0.4g,2.7g,0.42g,,Tilda Gluten Free Firecracker Hot Spicy Basmati,,,,,,,,,,,,,,,,,,,,,,,,
91,33.2g,169kcal,2.6g,0.6g,0.4g,1.3g,2.8g,0.80g,,Tilda Limited Edition Rice,,,,,,,,,,,,,,,,,,,,,,,,
92,71.2g,351kcal,2.8g,3.4g,0.6g,1.1g,8.6g,<0.03g,,Tilda Brown Basmati Boil in Bag Rice,,,,,,,,,,,,,,,,,,,,,,,,
93,19.0g,131kcal,4.1g,0.8g,1.8g,1.7g,4.2g,0.29g,,Tilda Kids Cheese & Tomato Rice,,,,,,,,,,,,,,,,,,,,,,,,
94,18.3g,104kcal,2.3g,1.4g,0.3g,1.7g,1.9g,0.27g,,Tilda Kids Sunshine Vegetable Rice,,,,,,,,,,,,,,,,,,,,,,,,
95,"76,6g",344kcal,"0,9g","1,1g","0,3g","1,2g","6,8g","2,3g",,Gallo My Risotto Pronto Saffron,,,,,,,,,,,,,,,,,,,,,,,,
96,30g,150kcal,1.8g,1.2g,0.2g,1.6g,3.2g,0.45g,,Uncle Ben's Mixed Pepper Rice,,,,,,,,,,,,,,,,,,,,,,,,
97,78.9g,360kcal,1.0g,1.5g,0.3g,1.6g,8.1g,<0.03g,,Tilda Basmati & Wild Rice,,,,,,,,,,,,,,,,,,,,,,,,
98,23.5g,130kcal,2.5g,1.8g,0.3g,1.2g,2.5g,0.42g,,Tilda Peri Peri Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
99,22.1g,118kcal,1.3g,2.3g,0.3g,0.3g,3.3g,0g,,Essential Whole Grain Rice,,,,,,,,,,,,,,,,,,,,,,,,
100,26.4g,132kcal,0.6g,0.9g,0.4g,<0.5g,4.9g,0.13g,,Waitrose Egg Noodles Medium,,,,,,,,,,,,,,,,,,,,,,,,
101,80.5g,347kcal,0.6g,2.0g,0.3g,1.0g,4.8g,0.5g,,Thai Taste Folded Rice Noodles,,,,,,,,,,,,,,,,,,,,,,,,
102,68g,350kcal,1g,,0.2g,1.7g,16g,1.7g,,Clearspring brown rice udon,,,,,,,,,,,,,,,,,,,,,,,,
103,71.2g,367kcal,2.3g,4.1g,0.5g,3.0g,13.2g,0.79g,,Sharwood's Medium Egg Noodles,,,,,,,,,,,,,,,,,,,,,,,,
104,64g,351kcal,2.7g,3.5g,0.5g,1.8g,16g,<0.03g,,Clearspring Buckwheat Soba Gluten Free Noodles,,,,,,,,,,,,,,,,,,,,,,,,
105,75.2g,359kcal,2.59g,3.5g,0.7g,1.59g,8.68g,0.57g,,Thai Taste Folded Brown Rice Noodles,,,,,,,,,,,,,,,,,,,,,,,,
106,66.2g,356kcal,2.3g,9.2g,0.6g,3.4g,13.0g,0.67g,,Sharwood's Wholewheat Noodles,,,,,,,,,,,,,,,,,,,,,,,,
107,23.0g,116kcal,0.6g,0.8g,0.4g,<0.5g,4.2g,0.08g,,Waitrose Fine Egg Noodles,,,,,,,,,,,,,,,,,,,,,,,,
108,71.2g,367kcal,2.3g,4.1g,0.5g,3.0g,13.2g,0.79g,,Sharwood's Fine Egg Noodles,,,,,,,,,,,,,,,,,,,,,,,,
109,79g,353kcal,0.9g,1.5g,0.5g,0.7g,7.1g,0g,,ThaiTaste Vermicelli Rice Noodles Nests,,,,,,,,,,,,,,,,,,,,,,,,
110,19.5g,151kcal,6.5g,1.2g,3.1g,<0.5g,3.0g,0.48g,,Batchelors Super Noodles Chicken,,,,,,,,,,,,,,,,,,,,,,,,
111,66g,354kcal,2.1g,4.5g,0.4g,1.1g,14g,1.9g,,Clearspring Japanese Udon Noodles,,,,,,,,,,,,,,,,,,,,,,,,
112,22.5g,128kcal,1.5g,1.5g,0.3g,0.2g,5.5g,0.2g,,Amoy straight to wok noodles thread,,,,,,,,,,,,,,,,,,,,,,,,
113,21.6g,137kcal,2.2g,2.8g,0.4g,0.5g,6.4g,0.3g,,Amoy Straight to Wok Singapore Noodles,,,,,,,,,,,,,,,,,,,,,,,,
114,82g,358kcal,0g,1.9g,0.2g,0g,6.6g,0.07g,,Mama rice vermicelli noodles,,,,,,,,,,,,,,,,,,,,,,,,
115,27.3g,151kcal,1.4g,1.8g,0.3g,0.6g,6.4g,0.4g,,Amoy straight to wok medium noodles,,,,,,,,,,,,,,,,,,,,,,,,
116,25.7g,127kcal,<0.1g,2.1g,<0.1g,0.5g,4.9g,0.4g,,Amoy Straight to Wok Udon Thick Noodles,,,,,,,,,,,,,,,,,,,,,,,,
117,72g,350kcal,1.5g,6.6g,0.5g,0g,8.8g,0.08g,,MAMA Wholegrain Rice Vermicelli,,,,,,,,,,,,,,,,,,,,,,,,
118,13.3g,72kcal,0.8g,0.7g,0.2g,3.4g,2.6g,1.0g,,Kabuto noodles chilli chicken ramen,,,,,,,,,,,,,,,,,,,,,,,,
119,"24,7g",221kcal,"10,8g",,"4,6g","4,3g","4,9g","1,9g",,Nissin Soba Noodles Yakitori Chicken,,,,,,,,,,,,,,,,,,,,,,,,
120,"26,1g",219kcal,"9,7g",,"4,5g","4,6g","5,4g","1,9g",,Nissin Soba Classic,,,,,,,,,,,,,,,,,,,,,,,,
121,19.5g,151kcal,6.5g,1.2g,3.1g,<0.5g,3.1g,0.41g,,Batchelors Super Noodles BBQ Beef,,,,,,,,,,,,,,,,,,,,,,,,
122,14.9g,82kcal,0.8g,0.8g,0.1g,1.5g,3.4g,0.53g,,Naked Noodle Vietnamese Beef Pho,,,,,,,,,,,,,,,,,,,,,,,,
123,1.0g,12kcal,0.1g,3.9g,0.1g,0.1g,<0.5g,0.01g,,Barenaked Noodles,,,,,,,,,,,,,,,,,,,,,,,,
124,15.3g,83kcal,0.8g,0.8g,0.2g,2.0g,3.2g,0.53g,,Naked Noodle Singapore Curry,,,,,,,,,,,,,,,,,,,,,,,,
125,22.8g,167kcal,3.2g,1.1g,0.4g,6.9g,11.3g,0.59g,,Sharwood's Szechuan Noodle Kit,,,,,,,,,,,,,,,,,,,,,,,,
126,15.5g,84kcal,0.8g,0.7g,0.2g,3.0g,3.4g,0.53g,,Naked Noodle Thai Sweet Chilli,,,,,,,,,,,,,,,,,,,,,,,,
127,27.5g,154kcal,3.1g,2.3g,0.4g,1.4g,4.2g,1.1g,,Miso Tasty Yaki Udon Noodle Kit,,,,,,,,,,,,,,,,,,,,,,,,
128,25.7g,691/,2.8g,8.4g,0.5g,2.6g,4.9g,1.25g,,Merchant Gourmet Smoky Spanish Style Grains & Rice,,,,,,,,,,,,,,,,,,,,,,,,
129,24.0g,121kcal,0.6g,1.3g,0.1g,1.2g,4.3g,0.03g,,Essential Couscous,,,,,,,,,,,,,,,,,,,,,,,,
130,15.8g,101kcal,2.2g,2.4g,0.5g,0.6g,3.2g,0.02g,,Waitrose Duchy British Quinoa,,,,,,,,,,,,,,,,,,,,,,,,
131,24.8g,159kcal,2.8g,4.29,0.4g,2.4g,6.4g,0.43g,,Merchant Gourmet Korean-Style Grains,,,,,,,,,,,,,,,,,,,,,,,,
132,20.9g,132kcal,2.5g,3.3g,0.3g,<0.5g,4.9g,0.05g,,Waitrose Quinoa,,,,,,,,,,,,,,,,,,,,,,,,
133,19.1g,100kcal,0.8g,2.0g,0.2g,<0.5g,3.3g,0.03g,,Waitrose LoveLife Bulgar Wheat,,15% of NRV,,,,,,,,,,,,,,,,,,,,,,
134,31.9g,178kcal,2.1g,2.6g,0.2g,2.9g,6.5g,0.97g,387mg,Ainsley Harriott Spice Sensation Cous Cous,,,,,,,,,,,,,,,,,,,,,,,,
135,24.4g,149kcal,2.7g,3.9g,0.3g,5.2g,4.8g,0.03g,,"Waitrose LoveLife White, Black & Red Quinoa Seed Mix",,,,,,,,,,,,,,,,,,,,,,,,
136,22.7g,129kcal,0.8g,5.2g,0.2g,0.7g,5.2g,0.01g,,Waitrose LOVE life Giant Wholewheat Couscous,,,,,,,,,,,,,,,,,,,,,,,,
137,24.0g,121kcal,0.6g,1.3g,0.1g,1.2g,4.3g,0.03g,,Essential Couscous,,,,,,,,,,,,,,,,,,,,,,,,
138,32.1g,174kcal,1.3g,3.7g,0.2g,0.7g,6.5g,0.03g,,Waitrose LOVE Life Pearled Spelt,,,,,,,,,,,,,,,,,,,,,,,,
139,27.0g,145kcal,1.5g,1.5g,0.3g,<0.5g,5.1g,0.03g,,Waitrose LOVE life buckwheat,21% of NRV,,,,,,,,,,,,,,,,,,,,,,,
140,22.0g,126kcal,1.3g,4.8g,0.3g,<0.5g,4.3g,0.13g,,Waitrose LOVE Life Freekeh & Quinoa,,,,,,,,,,,,,,,,,,,,,,,,
141,74.0g,355kcal,1.1g,,0.0g,1.3g,12.0g,0.02g,,Al'Fez Maftoul Giant Couscous,,,,,,,,,,,,,,,,,,,,,,,,
142,22.1g,123kcal,1.0g,4.2g,0.2g,<0.5g,4.3g,0.02g,,Waitrose LOVE Life Wholewheat Bulgur,,,,,,,,,,,,,,,,,,,,,,,,
143,73.2g,360kcal,1.0g,3.7g,0.2g,1.0g,12.8g,<0.01g,,Tilda Giant Wild Rice,,,,,,,,,,,,,,,,,,,,,,,,
144,28.1g,146kcal,1.3g,3.1g,0.3g,<0.5g,4.2g,0.0g,,"Waitrose LOVE Life Wholewheat Bulgar, Millet & Red Rice",,,,,,,,,,,,,,,,,,,,,,,,
145,15.7g,82kcal,0.7g,0.7g,0.2g,2.6g,2.9g,0.53g,,Naked Noodle Japanese Teriyaki,,,,,,,,,,,,,,,,,,,,,,,,
146,52.1g,329kcal,8.8g,3.1g,1.8g,2.8g,9.3g,2.7g,,Miso Tasty Original Ramen Noodle Kit,,,,,,,,,,,,,,,,,,,,,,,,
147,17.7g,117kcal,3.1g,4.2g,0.4g,2.0g,2.4g,0.23g,,Tilda Kids Vegetable & Wholegrain Rice,,,,,,,,,,,,,,,,,,,,,,,,
148,30g,154kcal,2.0g,1.3g,0.4g,0.6g,3.5g,0.44g,,Seeds of Change quinoa & wholegrain rice,,,,,,,,,,,,,,,,,,,,,,,,
149,11g,107kcal,4.4g,1.0g,2.7g,1.9g,5.8g,0.76g,,Scratch Meal Kit Laska Noodles,,,,,,,,,,,,,,,,,,,,,,,,
150,100g,400kcal,0g,,0g,100g,0g,0g,,Silver Spoon Granulated Sugar,,,,,,,,,,,,,,,,,,,,,,,,
151,100g,399kcal,0g,,0g,100g,0g,0.17g,,Billington's Golden Caster Sugar,,,,,,,,,,,,,,,,,,,,,,,,
152,100g,400kcal,0g,,0g,100g,0g,0g,,Silver Spoon Granulated Sugar,,,,,,,,,,,,,,,,,,,,,,,,
153,99.95g,400kcal,0g,,0g,99.95g,0g,<0.01g,,Tate & Lyle Fairtrade Cane Sugar Caster Sugar,,,,,,,,,,,,,,,,,,,,,,,,
154,99.7g,401kcal,trace,0.5g,trace,99.7g,0.1g,0.14g,,Waitrose Golden Granulated Sugar,,,,,,,,,,,,,,,,,,,,,,,,
155,99.8g,401kcal,trace,0.5g,trace,99.8g,trace,0.17g,,Waitrose Golden Caster Sugar,,,,,,,,,,,,,,,,,,,,,,,,
156,99.5g,400kcal,<0.5g,<0.5g,0.0g,99.5g,<0.5g,0.13g,,Waitrose Demerara Sugar,,,,,,,,,,,,,,,,,,,,,,,,
157,99g,399kcal,0g,,0g,97g,0g,0.03g,,Tate & Lyle Fairtrade Icing Sugar,,,,,,,,,,,,,,,,,,,,,,,,
158,99.5g,400kcal,<0.5g,<0.5g,<0.1g,99.5g,<0.5g,0.13g,,Waitrose Demerara Sugar,,,,,,,,,,,,,,,,,,,,,,,,
159,99.95g,400kcal,0g,,0g,99.95g,0g,<0.01g,,Tate & Lyle Fairtrade Caster Sugar,,,,,,,,,,,,,,,,,,,,,,,,
160,99g,397kcal,0g,,0g,99g,0g,0.35g,,Billington's Light Brown Soft Sugar,,,,,,,,,,,,,,,,,,,,,,,,
161,99g,399kcal,0g,,0g,97g,0g,0.03g,,Tate & Lyle Fairtrade Icing Sugar,,,,,,,,,,,,,,,,,,,,,,,,
162,0g,1kJ,0g,,0g,0g,0g,0g,,Canderel 5x100 Refill Tablet Sachets Sweetener,,,,,,,,,,,,,,,,,,,,,,,,
163,77.73g,298Kcal,0g,,0g,66.11g,0g,0g,,Groovy Food Light Amber & Mild Agave Nectar,,,,,,,,,,,,,,,,,,,,,,,,
